model,config,accuracy,active_bits_mean,train_time_s
cnn,"{""arch"": ""linear"", ""n_filters"": 8, ""n_filters2"": 16, ""hidden_size"": 128}",92.28, 12704,=25.5
cnn,"{""arch"": ""small"", ""n_filters"": 4, ""n_filters2"": 8, ""hidden_size"": 128}",97.63,70307,57.9
cnn,"{""arch"": ""small"", ""n_filters"": 8, ""n_filters2"": 16, ""hidden_size"": 128}",98.00,31407.9,66.23
cnn,"{""arch"": ""small"", ""n_filters"": 16, ""n_filters2"": 32, ""hidden_size"": 128}",98.23,121057,62.0
cnn,"{""arch"": ""small"", ""n_filters"": 32, ""n_filters2"": 64, ""hidden_size"": 128}",97.96,232513,70.7
cnn,"{""arch"": ""lenet"", ""n_filters"": 4, ""n_filters2"": 8, ""hidden_size"": 64}",98.13,442982,90.3
cnn,"{""arch"": ""lenet"", ""n_filters"": 4, ""n_filters2"": 8, ""hidden_size"": 128}",98.72,100005,93.2
cnn,"{""arch"": ""lenet"", ""n_filters"": 8, ""n_filters2"": 16, ""hidden_size"": 64}",98.73,99224,110.4
cnn,"{""arch"": ""lenet"", ""n_filters"": 8, ""n_filters2"": 16, ""hidden_size"": 128}",98.66,181758,110.4
cnn,"{""arch"": ""lenet"", ""n_filters"": 8, ""n_filters2"": 16, ""hidden_size"": 256}",98.95,183192,111.5
cnn,"{""arch"": ""lenet"", ""n_filters"": 16, ""n_filters2"": 32, ""hidden_size"": 128}",99.11,185380,112.3
cnn,"{""arch"": ""lenet"", ""n_filters"": 16, ""n_filters2"": 32, ""hidden_size"": 256}",98.97,344157,138.2
cnn,"{""arch"": ""lenet"", ""n_filters"": 32, ""n_filters2"": 64, ""hidden_size"": 256}",99.19,344586,140.6